label,x1_ratio,y1_ratio,x2_ratio,y2_ratio
0,0.6421875,0.3958333333333333,0.840625,0.78125
1,0.6421875,0.3958333333333333,0.840625,0.78125
2,0.6421875,0.3958333333333333,0.840625,0.78125
3,0.6421875,0.3958333333333333,0.840625,0.78125
4,0.6015625,0.5416666666666666,0.821875,0.7479166666666667
5,0.5765625,0.55,0.85625,0.8791666666666667
6,0.5859375,0.56875,0.8625,0.8666666666666667
7,0.51875,0.6020833333333333,0.7921875,0.8916666666666667
8,0.5390625,0.5770833333333333,0.8125,0.8708333333333333
9,0.6421875,0.3958333333333333,0.840625,0.78125
10,0.6421875,0.3958333333333333,0.840625,0.78125
11,0.5484375,0.3541666666666667,0.7640625,0.5916666666666667
12,0.1234375,0.6458333333333334,0.340625,0.9125
12,0.61875,0.6458333333333334,0.8375,0.9125
13,0.1234375,0.6458333333333334,0.340625,0.9125
13,0.61875,0.6458333333333334,0.8375,0.9125
14,0.40625,0.4625,0.5203125,0.6770833333333334
15,0.39375,0.5666666666666667,0.534375,0.7916666666666666
16,0.4203125,0.55,0.5015625,0.88125
17,0.5,0.45416666666666666,0.634375,0.7625
18,0.421875,0.5041666666666667,0.5703125,0.81875
19,0.3171875,0.8104166666666667,0.575,0.9333333333333333
19,0.41875,0.50625,0.54375,0.80625
20,0.4265625,0.64375,0.6921875,0.8208333333333333
20,0.309375,0.7875,0.5875,0.91875
21,0.5140625,0.4666666666666667,0.6578125,0.6458333333333334
22,0.4859375,0.4979166666666667,0.61875,0.66875
22,0.35625,0.49166666666666664,0.4828125,0.6645833333333333
23,0.421875,0.46458333333333335,0.5359375,0.7145833333333333
24,0.409375,0.5479166666666667,0.6265625,0.7270833333333333
25,0.35625,0.22916666666666666,0.58125,0.6020833333333333
